Input name	Standardized name	Formula	Exact mass	Super class	Main class	Sub class	Pubchem CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	 REFMET_ID
homoarginine	Homoarginine	C7H16N4O2	188.1273	Organic acids	Amino acids and peptides	Amino acids	9085	27747	HMDB0000670		C01924	QUOGESRFPZDMMT-YFKPBYRVSA-N	RM0135972
kynurenate	Kynurenic acid	C10H7NO3	189.0426	Alkaloids	Anthranilic acid alkaloids	Acridone alkaloids	3845	18344	HMDB0000715		C01717	HCZHHEIFKROPDY-UHFFFAOYSA-N	RM0032431
kynurenine	Kynurenine	C10H12N2O3	208.0848	Organic acids	Amino acids and peptides	Amino acids	161166	16946	HMDB0000684		C00328	YGPSJZOEDVAXAB-QMMMGPOBSA-N	RM0132226
lingering metabolites	-						-	-	-	-	-	-	-
lipids	-						-	-	-	-	-	-	-
lyso-phosphatidyl-cholines	-						-	-	-	-	-	-	-
lyso-phosphatidylcholine	-						-	-	-	-	-	-	-
lyso-phosphatidylcholines	-						-	-	-	-	-	-	-
mannose	Mannose	C6H12O6	180.0634	Carbohydrates	Monosaccharides	Hexoses	18950	4208	HMDB0000169		C00159	WQZGKKKJIJFFOK-QTVWNMPRSA-N	RM0135630
metabolites	-						-	-	-	-	-	-	-
metabolome	-						-	-	-	-	-	-	-
methylmalonate	Methylmalonic acid	C4H6O4	118.0266	Fatty Acyls	Fatty acids	Dicarboxylic acids	487	30860	HMDB0000202	LMFA01170118	C02170	ZIYVHBGGAOATLY-UHFFFAOYSA-N	RM0152460
nicotinamide riboside	Nicotinamide riboside	C11H15N2O5	255.0981	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	439924	15927	HMDB0000855		C03150	JLEBZPBDRKPWTD-TURQNECASA-O	RM0156507
nonpolar lipids	-						-	-	-	-	-	-	-
nucleotides	-						-	-	-	-	-	-	-
partially characterized molecules	-						-	-	-	-	-	-	-
peptides	-						-	-	-	-	-	-	-
persistently affected metabolites	-						-	-	-	-	-	-	-
phosphatidyl-choline	-						-	-	-	-	-	-	-
phosphatidylcholines	-						-	-	-	-	-	-	-
polar metabolites	-						-	-	-	-	-	-	-
predisposition metabolites	-						-	-	-	-	-	-	-
proline	Proline	C5H9NO2	115.0633	Organic acids	Amino acids and peptides	Amino acids	145742	17203	HMDB0000162		C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N	RM0135899
proline-related amino acids	-						-	-	-	-	-	-	-
pseudouridine	Pseudouridine	C9H12N2O6	244.0695	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides	15047	17802	HMDB0000767		C02067	PTJWIQPHWPFNBW-GBNDHIKLSA-N	RM0033386
quinolinate	Quinolinic acid	C7H5NO4	167.0219	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	1066	16675	HMDB0000232		C03722	GJAWHXHKYYXBSV-UHFFFAOYSA-N	RM0135916
secondary bile acids	-						-	-	-	-	-	-	-
sphingolipids	-						-	-	-	-	-	-	-
sphingomyelin	SM 18:1;O2/18:0	C41H83N2O6P	730.5989	Sphingolipids	Phosphosphingolipids	SM	6453725	83358	HMDB0001348	LMSP03010001	C00550	LKQLRGMMMAHREN-YJFXYUILSA-N	RM0135541
sphingomyelins	-						-	-	-	-	-	-	-
thyroxine	Thyroxine	C15H11I4NO4	776.6867	Organic acids	Amino acids and peptides	Amino acids	5819	18332	HMDB0000248		C01829	XUIIKFGFIJCVMT-LBPRGKRZSA-N	RM0135922
transient metabolites	-						-	-	-	-	-	-	-
tryptophan	Tryptophan	C11H12N2O2	204.0899	Organic acids	Amino acids and peptides	Amino acids	6305	16828	HMDB0000929		C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	RM0136024
unknown	-						-	-	-	-	-	-	-
uracil	Uracil	C4H4N2O2	112.0273	Nucleic acids	Pyrimidines	Other pyrimidines	1174	17568	HMDB0000300		C00106	ISAKRJDGNUQOIC-UHFFFAOYSA-N	RM0135934
urea cycle metabolites	-						-	-	-	-	-	-	-
uridine	Uridine	C9H12N2O6	244.0695	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides	6029	16704	HMDB0000296		C00299	DRTQHJPVMGBUCF-XVFCMESISA-N	RM0135933
xenobiotics	-						-	-	-	-	-	-	-
yNw4e	-						-	-	-	-	-	-	-
