IL-23	IL 74072	IL 63895	Ile- 32606
IL-5	Ile- 32606	IL 74072	IL 63895
IL-6	Ile- 32606	IL 74072	IL 63895
IL-8	IL8 138181	Ile- 32606	IL 74072
Isocitrate	isocitrate 24885	isocitrate(3-) 16087	isocitrate(2-) 36453
Lys	Lys 29967	Lys 18019	Lys 133538
M-CSF	M-S 73613	Mc 194535	MC 34342
MIP-1δ	MIPC-1 62706	MIPC-1 62705	MIP-3 138161
N-benzyloxycarbonyl-L-proline	N-benzyloxycarbonyl-L-leucine 58558	N-benzyloxycarbonyl-L-leucine 28282	N-benzyloxycarbonyl-L-leucine 28282
Oleate	oleate 30823	Oleate 16196	Oleat 30823
Pro	Pro 50342	Pro- 32865	Hpro 26271
R5P	RWP 156080	RTP 45578	RMP 45490
Shikimate	shikimate 36208	shikimate 36208	Shikimate 16119
Succinate	succinate 30031	succinate 26806	succinates 26806
TNF	tn 15725	Tn 40356	Tn 33491
TNF-α	TNF-a 197439	tn 15725	Tn 40356
TNFSF10	TNFSF2 197440	tn 15725	Tn 40356
Undecylenate	undecenoate 83042	undecylate 32369	undecenoates 83042
acylcarnitines	Acylcarnitine 15414	O-acylcarnitine 17387	acylcarnitine 23:4 194203
adenosine deaminase	adenosine deaminase inhibitor 50445	adenosine deaminase inhibitors 50445	adenosine residue 62885
b-Neu5Ac	Neu5Ac 75133	Neu5Ac 173082	Neu5Ac 17012
butyrate	butyrate 17968	butyrate 17968	Butylate 34594
citrate	citrate 50744	citrate 16947	citrate 133748
creatine	creatine 57947	creatine 16919	Creatine 16919
decanoylcarnitine (CAR10:0)	decanoylcarnitine 68830	decanoyl-L-carnitine-d3 192248	decanoate 27689
dipeptide gly-pro	Dipeptide (Xaa-Pro) 4635	Dipeptide (Xaa-Pro) 4635	dipeptide 46761
fatty acid (C19:1)	fatty acid 19:1 233757	fatty acid 19:5 132763	fatty acid 19:0 141087
fumarate	fumarate 29806	fumarate 24123	FUMARATE 29806
gluconolactone	gluconolactone 24267	Gluconolactone 16217	Gluconolactone 16217
glucose	glucose 4167	glucose 17234	glucose 17234
gly-pro	Gly-Pro 70744	Gly-L-Pro 70744	Glu-Pro 73508
glycylproline	Glycylproline 70744	N-glycylproline 70744	1-Glycylproline 70744
interferon γ (IFNγ)	interferon 52999	interferon inducer 36710	interferon inducers 36710
interleukin-6 (IL-6)	interleukin 8 138181	Interleukin-2 5940	interleukins 52998
isocitrate	isocitrate 24885	isocitrate(3-) 16087	isocitrate(2-) 36453
lactate	lactate 24996	lactate 24996	lactates 24997
linoleylcarnitine	linoleylcarnitine 73072	levulinoylcarnitine 232903	linoleylanilide 53722
long-chain acylcarnitines	long-chain alkane 83563	Long-chain acyl-CoA 33184	long-chain fatty acyl-L-carnitine 229627
lysine	lysine 25094	lysine 25094	lysine 18019
malate	malate 25115	malate 15595	Malate 30797
monocyte chemoattractant protein-1 (MCP1)	monoatomic tetraanion 50086	monoatomic tetraanions 50086	monoatomic tetracation 26937
oleylcarnitine	oleoylcarnitine 72689	Oleoylcarnitine 84651	oleoyl-L-carnitine 84651
p-Hydroxyphenylacetate	(p-hydroxyphenyl)acetate 48999	p-Hydroxyphenyllactate 36659	o-hydroxyphenylacetate 62423
palmitate	palmitate 7896	Palmitate 15756	palmatine 16096
proline	proline 26271	proline 26271	proline 26271
sitagliptin	sitagliptin 40237	sitagliptin 40237	sitagliptine 40237
stearylcarnitine	stearoylcarnitine 73074	Stearoylcarnitine 84644	stearoyl-L-carnitine 189710
succinate	succinate 30031	succinate 26806	succinates 26806
xylose	xylose 18222	xylose 18222	Xylose 18222
